------------------------------------------
Baseline:
Word Error Rate = 10.55071671167154
Known Word WER = 8.293629758223245
Unknown Word WER = 83.89799635701274
	NNS	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	RBR	VBZ	POS	PDT	IN	VBG	RP	PRP	NNP	VBN	CD	EX	DT	LS	NNPS	CC	FW	PRP$	JJR	MD	JJS	WP	TO	SYM	,
VBZ	0.72	-	-	0.49	-	-	-	-	-	-	-	-	1.21	-	-	-	-	0.00	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBN	0.00	0.15	-	0.80	2.77	0.34	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.06	-	1.11	5.62	0.20	0.47	0.01	-	-	0.05	0.15	-	-	0.84	0.10	0.50	0.05	0.00	0.65	1.56	0.01	-	0.00	0.04	0.44	0.00	0.01	-	0.02	-	0.00	-	0.00	-	-
NNP	0.11	1.31	0.04	8.56	0.00	0.03	0.00	-	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.02	0.02	0.01	-	0.01	0.04	-	0.07	0.36	1.67	0.01	0.07	0.00	0.02	0.00	0.02	-	-	-	0.00
NN	0.33	3.50	0.25	-	0.04	6.98	0.01	-	-	1.68	-	0.00	-	0.15	0.04	4.48	0.03	0.01	1.22	0.19	0.11	-	0.00	-	0.00	0.01	0.18	-	0.01	0.03	0.00	-	0.00	0.00	-
CD	0.03	0.01	-	3.54	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	0.00	-	-	-	0.00	1.59	-	-	-	-	-	-	-	-	-	-	-
RB	0.00	0.68	-	0.58	0.00	0.08	0.53	0.01	-	0.00	0.41	-	-	0.10	1.10	0.00	1.79	-	0.02	0.00	0.00	0.13	0.02	0.02	-	0.05	-	-	0.02	-	0.01	-	-	-	-
IN	-	0.10	1.88	0.02	-	0.00	-	4.95	-	-	-	-	-	-	-	0.00	3.07	-	0.00	0.00	-	-	0.02	-	-	0.01	0.14	-	-	-	-	-	0.00	0.00	-
DT	-	0.01	-	0.00	-	-	0.67	1.13	-	-	-	-	-	1.41	-	-	-	-	-	-	-	-	-	-	-	0.06	0.00	-	-	-	-	-	-	-	-
JJS	-	0.00	-	0.03	-	-	-	-	0.46	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	0.01	-	2.68	-	-	-	-	-	-	-	1.42	0.00	-	-	-	-	-	0.08	-	0.05	-	-	-	0.81	-	0.00	-	-	-	-	-	-	-	-
VBP	-	0.04	0.00	0.44	0.00	2.24	0.00	-	-	-	-	0.00	-	-	0.02	-	0.00	0.00	0.00	0.02	0.00	-	-	-	0.00	0.00	-	-	0.00	-	-	-	-	-	-
