------------------------------------------
Baseline:
Word Error Rate = 10.666612455275603
Known Word WER = 8.452390544177128
Unknown Word WER = 83.36154904242937
	NN	WDT	JJ	RBS	VBD	VB	VBP	JJR	UH	RB	RBR	VBZ	POS	NNS	PDT	IN	LS	VBN	RP	NNPS	NNP	VBG	CC	DT	JJS	FW	CD	PRP$	EX	SYM	MD	WP	PRP	NPS	$	TO
VBG	1.18	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.00	1.10	0.01	-	-	-	-	-	0.70	0.00	-	-	-	-	1.31	-	-	-	-	-	-	-	0.06	-	-	0.00	-	-	-	-	-	-	-	-	-	-
RB	0.58	0.02	0.66	-	0.00	0.08	0.00	0.03	0.58	-	0.36	-	-	-	0.09	1.08	0.09	0.00	1.83	-	0.01	0.00	0.08	0.02	0.02	-	-	-	0.13	-	-	-	-	-	-	-
JJS	0.06	-	0.00	0.37	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	2.79	-	0.02	-	-	-	-	-	-	-	-	1.47	-	-	-	-	-	-	-	0.74	0.09	-	-	-	-	-	0.09	-	-	-	-	-	-	0.00	-	-
VBZ	0.45	-	-	-	-	-	-	-	-	-	-	-	1.17	0.73	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.71	-	0.14	-	3.03	0.25	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBP	0.35	-	0.05	-	0.00	2.25	-	0.00	-	0.00	-	0.01	-	-	-	0.02	-	0.05	0.00	0.00	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	1.78	-	0.17	-	0.02	-	3.45	0.03	0.00	0.00	0.00	-	-	0.00	-	0.05	-	0.30	0.02	-	0.02	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
JJ	5.62	-	-	0.00	0.17	0.50	0.04	0.02	0.01	1.08	0.13	-	-	0.04	0.78	0.10	1.01	1.46	0.07	0.40	0.73	0.49	0.00	0.01	0.01	0.01	0.00	0.00	-	-	-	-	0.00	-	-	-
NN	-	0.00	3.36	-	0.07	7.27	2.04	0.01	0.01	0.26	0.00	0.00	-	0.35	0.14	0.04	0.05	0.21	0.02	0.00	1.25	4.28	0.01	0.00	0.00	0.17	0.11	-	-	0.00	0.03	-	0.01	-	-	-
