------------------------------------------
Baseline:
Word Error Rate = 10.800970873786406
Known Word WER = 8.51213450642885
Unknown Word WER = 84.25398779299378
	NN	NNS	JJ	PDT	IN	VBD	VBN	RB	RP	VB	VBG	NNP	WDT	CD	EX	RBS	VBP	RBR	POS	DT	NNPS	LS	CC	UH	VBZ	JJR	PRP$	FW	JJS	MD	PRP	WP	TO	SYM
NNP	8.23	0.11	1.15	0.00	0.03	0.00	0.01	0.04	0.02	0.03	0.03	-	-	0.03	-	-	0.04	0.01	0.00	0.09	1.55	0.31	0.00	0.00	0.00	0.02	0.00	0.06	0.04	0.01	0.01	-	-	-
VBZ	0.48	0.69	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	1.08	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.25	3.20	0.13	0.04	0.02	0.26	0.21	0.03	7.08	4.45	1.25	-	0.13	-	-	2.12	-	-	0.01	0.00	0.05	0.01	0.02	0.00	0.01	-	0.20	0.00	0.03	0.01	-	0.00	-
RP	0.00	-	0.00	-	0.17	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.78	-	0.18	-	-	2.99	-	-	-	0.21	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
RB	0.67	0.00	0.61	0.09	1.08	0.00	-	-	1.78	0.08	-	0.02	0.02	-	0.15	-	0.00	0.40	-	0.02	-	0.10	0.08	0.60	-	0.00	-	-	0.00	-	-	-	-	-
VBP	0.41	-	0.05	-	0.02	0.00	0.06	0.00	0.00	2.16	-	0.00	-	0.00	-	-	-	-	-	-	0.00	-	0.00	-	0.00	0.00	-	-	-	-	0.00	-	-	-
JJ	5.71	0.05	-	1.04	0.09	0.18	1.49	1.10	0.05	0.48	0.44	0.68	-	0.01	-	0.00	0.03	0.14	-	0.00	0.40	1.00	0.00	0.01	-	0.02	-	0.01	0.01	0.00	0.00	-	-	-
VBD	0.47	-	0.03	-	-	-	5.26	-	-	0.14	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
IN	0.01	-	0.09	-	-	-	-	1.83	2.98	0.00	0.00	0.00	4.71	-	-	-	0.00	-	-	0.03	-	-	0.02	-	-	-	-	0.15	-	-	-	-	0.00	-
