------------------------------------------
Baseline:
Word Error Rate = 9.858510163571175
Known Word WER = 8.182762119769995
Unknown Word WER = 84.68563400070249
	NN	NNS	JJ	PDT	IN	VBD	VB	POS	VBZ	UH	VBP	NNP	LS	VBN	RB	NNPS	WDT	RBS	RBR	RP	PRP$	VBG	CD	DT	MD	EX	CC	FW	PRP	JJR	JJS	WP	NPS	$	SYM	TO
NNP	6.51	0.13	0.97	0.00	0.03	-	0.03	0.01	0.01	0.01	0.06	-	0.45	0.05	0.07	1.90	-	-	0.01	0.02	-	0.03	0.05	0.08	0.01	-	0.00	0.12	0.01	0.03	0.01	-	-	0.00	-	-
VBZ	0.30	0.82	-	-	-	-	-	1.16	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.40	3.55	0.18	0.04	0.04	8.03	-	-	0.17	1.67	1.40	0.02	0.28	0.15	0.00	-	-	-	0.03	-	4.06	0.10	0.02	0.03	-	-	0.21	0.01	0.00	0.01	-	-	-	-	-
RP	-	-	0.00	-	0.17	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.56	-	0.12	-	-	2.89	0.21	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	1.55	0.00	0.16	-	0.06	0.03	-	-	-	0.00	3.76	0.02	-	0.32	-	-	-	-	0.00	0.02	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-
NNS	2.08	-	0.02	-	-	0.00	-	-	1.40	-	-	0.10	-	-	-	1.03	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	0.01	-	-	-
DT	-	-	0.00	1.39	-	-	-	-	-	0.72	-	-	-	-	-	-	1.23	-	-	-	-	-	-	-	-	-	0.04	0.01	0.00	-	-	-	-	-	-	-
VBP	0.37	-	0.04	-	0.01	0.01	2.37	-	-	-	-	0.00	-	0.03	0.00	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	5.11	0.07	-	0.92	0.06	0.17	0.53	-	-	0.01	0.03	1.10	0.03	1.59	1.20	0.49	-	-	0.12	0.04	-	0.57	0.01	-	-	-	0.00	0.01	-	0.01	0.00	-	-	-	-	-
''	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
