------------------------------------------
Baseline:
Word Error Rate = 10.178863879632818
Known Word WER = 8.496456424857637
Unknown Word WER = 83.95250212044105
	NN	NNS	JJ	PDT	IN	CD	RP	EX	WDT	RBS	VB	RB	NNPS	UH	RBR	VBD	VBN	VBP	CC	VBG	VBZ	NNP	POS	LS	FW	DT	JJR	JJS	PRP	MD	PRP$	WP	SYM	$
NNP	6.77	0.08	1.26	-	0.03	0.02	0.04	-	-	-	0.02	0.03	1.82	-	0.01	0.00	0.02	0.01	0.00	0.02	0.00	-	0.00	0.38	0.26	0.08	0.01	0.06	0.01	0.01	-	-	-	0.00
VBZ	0.37	0.81	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	1.09	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.34	3.38	0.15	0.04	0.15	0.02	-	-	-	7.86	0.25	0.01	0.11	0.00	0.04	0.21	1.63	0.01	4.91	0.00	1.35	-	0.03	0.28	0.00	0.00	0.01	0.01	0.02	-	-	0.01	-
RP	-	-	-	-	0.20	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	0.44	0.00	0.61	0.07	1.14	-	1.92	0.12	0.01	-	0.09	-	-	0.64	0.37	-	-	0.00	0.06	-	-	0.02	-	0.13	0.00	0.02	0.04	0.01	-	-	-	-	-	-
VBP	0.36	-	0.05	-	0.02	0.00	-	-	-	-	2.39	0.00	-	-	-	0.00	0.05	-	0.00	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-
VBG	0.91	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.01	-	0.19	-	-	-	3.16	-	4.99	-	0.00	1.90	-	-	-	-	-	0.00	0.02	0.00	-	-	-	-	0.13	0.05	-	-	-	-	-	-	-	-
JJS	0.04	-	0.00	-	-	-	-	-	-	0.44	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VB	1.61	-	0.16	-	0.03	0.00	0.01	-	-	-	-	0.00	-	0.00	0.00	0.01	0.34	3.62	-	-	-	0.03	-	-	-	-	0.01	-	-	-	-	-	-	-
NNS	2.03	-	0.01	-	-	0.08	-	-	-	-	-	-	0.93	-	-	-	-	-	-	-	1.43	0.10	-	-	0.00	-	-	-	-	-	-	-	-	-
JJ	4.54	0.06	-	1.06	0.06	0.01	0.06	-	-	-	0.48	1.29	0.41	0.00	0.14	0.16	1.59	0.05	-	0.61	-	0.66	-	1.15	-	0.00	0.02	0.00	0.01	-	-	-	-	-
DT	0.00	-	0.01	1.41	-	-	-	-	1.18	-	-	-	-	0.81	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
JJR	0.07	-	-	-	-	-	-	-	-	-	-	0.00	-	-	1.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.56	-	0.17	-	-	-	-	-	-	-	0.23	-	-	-	-	2.98	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.38	-	0.00	-	-	-	-	-	-	-	0.16	-	-	-	-	-	5.88	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-
CD	3.10	0.01	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	1.70	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	-	-	-	-	-	-	-	0.11	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
MD	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	-	0.02	-	-	-	-	-	-	-	0.06	-	-	0.02	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
NNPS	0.15	0.05	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.08	-	-	-	-	-	-	-	-	-	-	-	-
SYM	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
