------------------------------------------
Baseline:
Word Error Rate = 10.093138038448194
Known Word WER = 8.42085117580919
Unknown Word WER = 83.74012291483758
	POS	VBP	RB	NN	JJ	NNP	PDT	RBR	NNPS	RP	VB	EX	VBG	WDT	VBD	CC	VBN	UH	VBZ	PRP$	LS	IN	NNS	RBS	JJS	MD	CD	JJR	DT	FW	PRP	$	WP	SYM	TO
VBZ	1.29	0.00	-	0.38	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.86	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	3.99	0.00	1.68	0.18	0.03	-	0.00	-	0.01	-	-	-	-	0.01	-	0.18	0.00	-	-	-	0.06	-	-	-	-	-	0.02	-	-	-	-	-	-	-
JJ	-	0.08	1.21	4.95	-	0.71	0.84	0.12	0.40	0.06	0.46	-	0.60	-	0.16	0.00	1.56	-	-	0.00	0.25	0.04	0.03	-	0.00	-	0.01	0.02	-	0.01	0.00	-	-	-	-
VBN	-	0.00	-	0.57	0.15	0.00	-	-	-	-	0.34	-	-	-	2.78	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	2.08	0.27	-	3.66	1.48	0.18	-	0.01	0.05	7.23	-	4.89	-	0.06	0.00	0.24	0.14	0.01	-	0.06	0.02	0.34	-	0.00	0.03	0.14	0.01	-	0.27	0.01	-	-	0.00	-
NNP	-	0.01	0.05	6.14	1.25	-	-	0.01	1.76	0.02	0.07	-	0.01	-	0.00	0.00	0.02	0.00	0.00	0.01	0.40	0.03	0.09	-	0.05	0.01	0.05	0.02	0.05	0.10	0.00	0.01	-	-	-
IN	-	-	2.10	0.02	0.18	0.00	-	-	-	3.29	0.00	-	0.00	4.88	-	0.03	-	-	-	-	-	-	-	-	0.00	-	-	-	0.02	0.15	-	-	-	-	0.00
RB	-	0.00	-	0.51	0.83	0.01	0.08	0.40	-	1.93	0.09	0.16	-	0.00	0.00	0.10	0.00	0.59	-	-	0.01	1.27	-	0.00	0.01	-	-	0.02	0.03	-	-	-	-	-	-
DT	-	-	-	-	0.02	-	1.47	-	-	-	-	-	-	1.10	-	0.05	-	0.77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	0.00	0.06	-	-	-	1.53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
