------------------------------------------
Baseline:
Word Error Rate = 9.89893939935007
Known Word WER = 8.17950840963699
Unknown Word WER = 84.97253234095339
	NN	NNS	JJ	PDT	IN	VBG	VB	RP	WDT	RBR	VBP	POS	DT	LS	VBN	VBD	RB	CC	UH	NNPS	PRP$	VBZ	CD	JJR	NNP	FW	EX	RBS	JJS	MD	PRP	WP	SYM	NPS
NNP	6.42	0.12	1.37	-	0.04	0.03	0.05	0.03	-	-	0.02	0.00	0.08	0.38	0.01	0.01	0.06	0.01	0.00	1.77	0.00	0.00	0.02	0.04	-	0.13	-	-	0.04	0.01	0.01	-	-	-
VBZ	0.41	0.73	-	-	-	-	-	-	-	-	0.00	1.33	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
NN	-	0.37	3.79	0.14	0.04	3.79	7.46	0.04	-	-	1.69	-	0.01	0.04	0.32	0.05	0.26	0.01	0.14	0.01	-	-	0.18	0.02	1.42	0.23	-	-	0.00	0.04	0.00	-	0.00	-
RP	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.43	-	0.07	-	0.02	-	2.51	-	-	-	-	-	-	-	0.03	0.01	0.00	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	0.00	-	-	-
RB	0.53	0.00	0.74	0.09	1.05	-	0.10	1.85	0.01	0.42	0.00	-	0.03	0.03	-	0.00	-	0.06	0.62	-	-	-	-	0.04	0.01	-	0.14	-	0.01	-	-	-	-	-
DT	-	-	0.01	1.51	-	-	-	-	1.19	-	-	-	-	-	-	-	-	0.11	0.78	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
IN	0.00	-	0.17	-	-	-	0.00	3.39	5.03	-	-	-	0.03	-	0.00	-	2.11	0.02	-	-	-	-	-	-	0.00	0.12	-	-	-	-	-	-	-	-
JJ	5.16	0.05	-	0.88	0.06	0.55	0.52	0.06	-	0.15	0.02	-	-	0.32	1.67	0.17	1.18	-	0.00	0.48	-	-	0.00	0.01	0.58	0.01	-	-	0.02	-	0.00	-	-	-
VB	1.78	-	0.19	-	0.07	0.00	-	-	-	0.00	3.63	-	-	-	0.16	0.01	0.00	-	0.00	-	-	-	-	0.02	0.02	-	-	-	-	-	-	-	-	-
CD	3.25	0.02	0.00	-	-	-	-	-	-	-	-	-	-	1.65	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBD	0.34	-	0.02	-	-	-	0.13	-	-	0.00	0.00	-	-	-	6.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
VBN	0.58	-	0.18	-	-	-	0.32	-	-	0.01	0.00	-	-	-	-	2.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.06	-	0.01	-	-	-	-	-	-	1.59	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
NNS	1.96	-	0.01	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	0.99	-	1.43	0.08	-	0.09	0.00	-	-	-	-	-	-	-	0.00
PRP	0.01	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.09	0.00	0.05	-	-	-	-	-	-	-	-	-	-	-
VBG	1.06	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.06	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.47	-	-	-	-	-	-
RBS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-
FW	0.06	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	0.00	-	-	-
NNPS	0.26	0.07	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-
