Word Error Rate = 10.619269434078142
Known WER = 8.372164251360308
Unknown WER = 83.97503929629245
	NNS	JJ	RB	NN	VB	UH	WDT	RBS	VBP	JJR	POS	NNP	PDT	RBR	NNPS	IN	VBD	VBZ	LS	VBN	VBG	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$	,
VBZ	0.77	0	0	0.47	0	0	0	0	0.0	0	1.16	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
VBN	0.0	0.16	0	0.76	0.29	0	0	0	0.0	0	0	0.00	0	0.0	0	0	2.77	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ	0.04	0	1.11	5.60	0.46	0.00	0	0.0	0.03	0.01	0	0.68	0.89	0.14	0.40	0.06	0.18	0	0.50	1.44	0.47	0.06	0.00	0	0.00	0.00	0.0	0.00	0.00	0.0	0	0.0	0	0.0	0	0	0
NNP	0.12	1.19	0.04	8.33	0.03	0.00	0	0.0	0.02	0.01	0.00	0	0.0	0.00	1.61	0.02	0.00	0.00	0.28	0.01	0.02	0.00	0.03	0	0.02	0.00	0.00	0.16	0.08	0.0	0	0.00	0	0	0	0.00	0.0
NN	0.33	3.42	0.23	0	7.21	0.06	0.0	0	1.92	0.00	0	1.24	0.12	0.0	0.00	0.03	0.03	0.00	0.01	0.21	4.06	0.02	0.12	0	0.0	0.01	0.00	0.20	0.00	0	0.0	0.03	0	0.0	0	0	0
CD	0.03	0.01	0.0	3.50	0	0	0	0	0	0	0	0.00	0.0	0	0	0	0	0	1.49	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0
RB	0.0	0.66	0	0.62	0.08	0.48	0.01	0.0	0.0	0.01	0	0.01	0.09	0.37	0	1.08	0.0	0	0.05	0.0	0.0	1.81	0.0	0.14	0.00	0	0.05	0.0	0.01	0	0	0	0	0	0	0	0
IN	0	0.14	1.85	0.01	0.0	0	4.83	0	0.0	0	0	0.00	0	0	0	0	0	0	0	0.0	0.0	3.11	0	0	0.0	0	0.01	0.13	0.02	0	0.0	0	0	0.0	0	0	0
VBG	0	0.06	0	1.20	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DT	0	0.00	0.0	0.0	0	0.67	1.10	0	0	0	0	0.0	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.06	0.0	0	0	0	0	0	0	0	0	0
JJS	0	0.00	0	0.04	0	0	0	0.46	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP	0	0.04	0.0	0.41	2.27	0.0	0.0	0	0	0.0	0	0.0	0	0	0.0	0.01	0.00	0.00	0	0.04	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0	0
VB	0.0	0.18	0.00	1.77	0	0.0	0	0	3.61	0.02	0	0.02	0	0.0	0	0.05	0.02	0	0	0.22	0.0	0.01	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0
NNS	0	0.01	0	2.73	0	0	0	0	0	0	0.0	0.08	0	0	0.76	0	0.0	1.34	0	0.0	0	0	0.06	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0
RP	0	0.0	0.00	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD	0	0.01	0	0.48	0.15	0	0	0	0.00	0	0	0.0	0	0.0	0	0	0	0	0	5.67	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0
JJR	0	0.0	0.0	0.07	0	0	0	0	0	0	0	0.0	0	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0	0.0	0.00	0	0	0	0	0	0.17	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP	0	0.0	0	0.00	0	0	0	0	0	0	0.00	0.0	0	0	0	0	0	0.0	0	0	0	0	0.03	0	0	0	0	0	0	0.10	0	0	0	0	0	0	0
CC	0.0	0	0.03	0.00	0	0	0	0	0	0	0	0.0	0.02	0.01	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.00	0.00	0	0.09	0	0	0	0	0	0
SYM	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.00	0	0	0	0	0	0	0	0.0	0	0.00	0	0	0	0	0	0	0	0
FW	0.0	0.0	0.0	0.07	0	0	0	0	0	0	0	0.00	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.00	0	0	0	0	0	0	0	0
LS	0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0
UH	0	0.0	0.0	0.03	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
RBS	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0
