Word Error Rate = 10.052616313455513
Known WER = 8.358903128677944
Unknown WER = 84.34602579034213
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	VBG	RP	UH	NNP	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	CD	JJR	DT	FW	CC	EX	RBS	WP	MD	SYM	$	NPS	TO	,
NNP	6.53	0.10	1.27	0.0	0.03	0.03	0	0.03	0.00	0.02	0.05	0.02	0.02	0.02	0.00	0	0.00	0.00	1.84	0.39	0.00	0.00	0.00	0.03	0.02	0.07	0.19	0.00	0	0	0	0.00	0	0.00	0	0	0.0
VBZ	0.35	0.80	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.00	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN	0	0.35	3.52	0.13	0.03	7.69	0	0.00	0.00	1.83	0.24	0.24	4.56	0.02	0.09	1.37	0.04	0.0	0.00	0.03	0	0.00	0	0.13	0.00	0.00	0.22	0.00	0	0	0	0.03	0.00	0	0	0.0	0
RP	0	0	0.0	0	0.18	0.0	0	0	0	0	0.00	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP	0.39	0	0.04	0	0.02	2.43	0	0	0.0	0	0.0	0.03	0	0.0	0.0	0.00	0.00	0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0
IN	0.00	0	0.16	0	0	0.0	5.08	0.0	0	0.0	1.98	0.0	0.0	3.25	0	0.0	0	0	0	0	0	0	0	0	0	0.02	0.13	0.01	0	0	0	0	0	0	0	0.0	0
JJ	4.91	0.05	0	1.00	0.05	0.47	0	0.00	0.00	0.03	1.17	1.59	0.54	0.06	0.00	0.69	0.17	0.12	0.42	0.61	0	0	0.0	0.00	0.01	0.0	0.01	0.0	0	0.0	0	0	0	0	0	0.0	0
NNS	2.14	0	0.01	0	0	0	0	0	0	0	0	0.0	0	0	0	0.08	0.0	0	0.96	0	0.0	1.36	0	0.09	0	0	0.0	0	0	0	0	0	0	0	0.00	0	0
VB	1.63	0.0	0.19	0	0.05	0	0	0	0	3.69	0.00	0.23	0.0	0.00	0.00	0.02	0.01	0.0	0	0	0	0	0	0.0	0.02	0.0	0	0	0	0	0	0	0	0	0	0	0
RB	0.49	0.0	0.72	0.08	1.12	0.08	0.01	0.01	0	0.0	0	0.00	0.0	1.92	0.59	0.01	0.0	0.40	0	0.06	0	0	0	0.0	0.02	0.02	0.0	0.07	0.14	0.0	0	0	0	0	0	0	0
DT	0.0	0	0.01	1.45	0	0	1.18	0	0.0	0	0.0	0	0	0	0.73	0	0	0	0	0	0	0	0	0	0	0	0.00	0.07	0	0	0	0	0	0	0	0	0
VBD	0.34	0	0.01	0	0	0.16	0	0	0	0.0	0	6.13	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0
CD	3.00	0.01	0.01	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.00	0	0	0	1.61	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
NNPS	0.20	0.05	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
VBN	0.57	0.0	0.14	0	0	0.30	0	0	0	0.0	0	0	0	0	0	0.00	2.81	0.00	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG	0.96	0	0.05	0	0	0	0	0	0	0	0	0.0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR	0.05	0	0.00	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	1.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0.00	0.0	0.10	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0.00	0	0	0	0.0	0	0	0	0	0	0.00	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.20	0	0	0	0	0	0	0	0	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJS	0.05	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0	0	0
CC	0.0	0.0	0	0.02	0.0	0	0	0	0	0	0.03	0	0	0	0	0.0	0	0.01	0	0	0	0	0	0.0	0	0.00	0.00	0	0	0	0	0	0	0	0	0	0
FW	0.07	0.0	0.0	0	0.00	0	0	0	0.0	0	0.0	0	0	0	0	0.00	0	0	0.0	0	0	0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0	0
MD	0.0	0	0	0	0	0.0	0	0	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UH	0.01	0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
WDT	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0.02	0	0	0	0	0	0
RBS	0.0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|VBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS|NNS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD|VB	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
NNS|NN	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|VBN	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
$	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBN|JJ	0	0	0.0	0	0	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LS	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0
``	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|IN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP$	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYM	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.00	0	0.0	0	0	0	0	0	0	0	0	0
