<s>	PDT	37
<s>	CC	2772
<s>	NNP	9650
<s>	WP$	1
<s>	VBN	280
<s>	WP	137
<s>	RBR	100
<s>	CD	516
<s>	JJ	2032
<s>	PRP	2902
<s>	TO	161
<s>	EX	210
<s>	WRB	308
<s>	RB	2712
<s>	FW	7
<s>	WDT	34
<s>	RBR|JJR	2
<s>	VBP	15
<s>	JJR	91
<s>	VBZ	61
<s>	NNPS	96
<s>	(	284
<s>	JJ|IN	1
<s>	UH	22
<s>	$	7
<s>	NNS|NNPS	1
<s>	``	4007
<s>	:	134
<s>	JJS	117
<s>	LS	39
<s>	.	1
<s>	VB	152
<s>	MD	22
<s>	NN	1943
<s>	NNS	2060
<s>	DT	10790
<s>	VBD	37
<s>	''	3297
<s>	RBS	26
<s>	IN	6373
<s>	NN|JJ	1
<s>	PRP$	376
<s>	)	283
<s>	SYM	40
<s>	VBG	589
