------------------------------------------
Baseline:
Word Error Rate = 10.485420385955964
Known Word WER = 8.270156974669996
Unknown Word WER = 83.3342062536008
	NNS	JJ	RB	NN	VB	UH	WDT	RBS	VBP	JJR	POS	NNP	PDT	RBR	NNPS	IN	VBD	VBZ	LS	VBN	VBG	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$
VBZ	0.84	-	-	0.45	-	-	-	-	-	-	1.21	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.00	0.14	-	0.71	0.34	-	-	-	0.00	-	-	0.01	-	0.00	-	-	2.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.04	-	1.44	5.62	0.47	0.01	-	0.00	0.02	0.02	-	0.63	0.86	0.13	0.40	0.05	0.21	-	0.00	1.53	0.45	0.07	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	-	0.00	-	0.00	-	-
NNP	0.14	1.23	0.05	8.24	0.05	0.01	-	-	0.03	0.00	0.00	-	-	0.00	1.65	0.03	0.00	0.00	0.07	0.02	0.04	0.00	0.03	-	0.01	0.01	0.00	0.26	0.08	0.00	-	0.00	-	-	-	0.00
NN	0.29	3.34	0.24	-	7.44	0.10	-	-	1.48	0.01	-	1.21	0.12	0.00	0.00	0.03	0.02	0.01	0.00	0.21	4.53	0.04	0.12	-	0.00	0.01	0.01	0.09	0.01	-	0.00	0.03	-	0.00	-	-
CD	0.06	0.02	-	3.59	-	-	-	-	-	-	-	0.02	0.00	-	-	-	-	-	1.58	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-
RB	0.00	0.64	-	0.66	0.08	0.58	0.02	0.00	0.00	0.02	-	0.03	0.09	0.40	-	1.03	-	-	-	0.00	0.00	1.92	-	0.14	0.00	-	0.08	-	0.01	-	-	-	-	-	-	-
IN	-	0.16	1.89	0.03	0.00	-	4.85	-	0.00	-	-	0.00	-	-	-	-	-	-	-	0.00	0.00	3.26	-	-	-	-	0.02	0.14	0.02	-	-	-	-	0.00	-	-
VBG	-	0.05	-	1.11	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.01	-	0.00	-	0.69	1.15	-	-	-	-	-	1.25	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.07	0.00	-	-	-	-	-	-	-	-
JJS	-	0.00	-	0.06	-	-	-	0.42	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.05	0.00	0.46	2.34	-	-	-	-	0.00	-	0.00	-	-	-	0.01	0.00	0.00	-	0.03	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.00	0.17	0.00	1.75	-	0.00	-	-	3.72	0.02	-	0.03	-	0.00	-	0.06	0.00	-	-	0.16	0.00	0.02	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-
NNS	-	0.02	-	2.78	-	-	-	-	-	-	0.00	0.07	-	-	0.75	-	0.00	1.29	-	-	-	-	0.03	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-
