------------------------------------------
Baseline:
Word Error Rate = 10.432809590817198
Known Word WER = 8.161781938646886
Unknown Word WER = 84.11426222770243
	NNS	VBP	NN	RB	VBD	VB	UH	JJR	RBR	VBZ	POS	WDT	LS	NNPS	RBS	VBG	RP	JJ	PDT	PRP	VBN	EX	JJS	DT	NNP	IN	CC	FW	CD	PRP$	MD	SYM	WP	,
VBZ	0.74	-	0.51	-	-	-	-	-	-	-	1.20	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
NN	0.36	1.95	-	0.21	0.03	7.30	0.00	0.01	0.00	0.01	-	-	-	0.00	-	3.45	0.03	3.49	0.13	0.01	0.22	-	0.00	0.01	1.31	0.02	0.01	0.17	0.11	-	0.03	0.00	-	-
VBN	-	0.00	0.81	-	2.76	0.24	-	-	0.00	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-
JJ	0.05	0.02	5.71	1.04	0.17	0.42	0.00	0.02	0.15	-	-	-	0.02	0.40	-	0.52	0.05	-	1.04	0.00	1.47	-	0.01	0.00	0.60	0.06	0.00	0.01	0.01	0.00	0.00	-	-	-
NNP	0.11	0.02	8.40	0.04	0.01	0.02	0.00	0.01	0.01	0.00	0.00	-	0.29	1.55	-	0.03	0.00	1.34	0.00	0.01	0.01	-	0.05	0.09	-	0.03	0.00	0.04	0.03	0.00	0.01	-	-	0.00
CD	0.06	-	3.66	0.00	-	-	-	-	-	-	-	-	1.61	-	-	-	-	0.01	-	0.00	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-
RB	0.00	0.00	0.66	-	0.00	0.09	0.17	0.02	0.35	-	-	0.02	0.02	-	-	0.00	1.81	0.75	0.09	-	0.00	0.13	0.01	0.02	0.01	1.10	0.05	-	-	-	-	-	-	-
IN	-	0.00	0.02	1.90	-	0.00	-	-	-	-	-	4.84	-	-	-	0.00	3.19	0.17	-	-	-	-	0.00	0.02	0.00	-	0.02	0.13	-	-	-	0.00	-	-
DT	-	-	0.00	0.00	-	-	0.73	-	-	-	-	1.10	-	-	-	-	-	0.01	1.41	0.00	-	-	-	-	-	-	0.07	0.00	-	-	-	-	-	-
JJR	-	-	0.07	0.00	-	-	-	-	1.49	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	2.74	-	-	-	-	-	-	1.54	-	-	-	0.78	-	-	-	0.02	-	-	0.00	-	-	-	0.09	-	-	-	0.04	-	-	-	-	-
VBP	-	-	0.48	0.00	0.00	2.13	-	0.00	-	0.00	-	-	-	0.00	-	-	0.00	0.06	-	0.00	0.05	-	-	0.00	0.00	0.01	-	-	-	-	0.00	-	-	-
JJS	-	-	0.06	-	-	-	-	-	0.00	-	-	-	-	-	0.40	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.00	0.51	-	-	0.15	-	-	0.00	-	-	-	-	-	-	-	-	0.02	-	-	5.71	-	-	-	-	-	-	-	-	-	0.00	-	-	-
VB	0.00	3.78	1.76	0.00	0.03	-	0.00	0.02	0.00	-	-	-	-	-	-	-	0.02	0.19	-	-	0.30	-	-	-	0.03	0.07	-	-	-	-	0.00	-	-	-
VBG	-	-	1.44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-
NNPS	0.10	-	0.26	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-
FW	-	-	0.07	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	-	-	-	-	-	-	-
RP	-	-	0.00	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.15	-	-	-	-	-	-	-	-
PRP	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.05	0.12	-	-	-	-
