------------------------------------------
Baseline:
Word Error Rate = 10.660472440944883
Known Word WER = 8.456780008857985
Unknown Word WER = 83.6620626645886
	RBR	VBZ	POS	WDT	VBD	NN	NNS	JJ	PDT	IN	VB	LS	VBN	NNPS	RB	RBS	SYM	RP	VBG	VBP	PRP	DT	CC	UH	CD	FW	PRP$	NNP	EX	JJR	MD	JJS	WP	TO	$	,
JJR	1.42	-	-	-	-	0.08	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
NNS	-	1.34	0.00	-	-	2.56	-	0.01	-	-	-	-	0.00	0.84	-	-	-	-	-	-	-	-	-	-	0.08	-	-	0.09	-	-	-	-	-	-	-	-
VBZ	-	-	1.17	-	-	0.46	0.74	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
IN	-	-	-	4.83	-	0.01	-	0.18	-	-	-	-	0.00	-	1.82	-	0.00	2.97	0.00	0.00	-	0.02	0.01	-	-	0.15	-	-	-	-	-	-	-	0.00	-	-
VBN	-	0.00	-	-	2.55	0.76	-	0.16	-	-	0.33	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
NNP	0.00	0.00	0.01	-	0.00	8.14	0.12	1.16	-	0.02	0.03	0.32	0.03	1.64	0.05	-	-	0.00	0.00	0.03	0.00	0.10	-	0.00	0.03	0.20	0.00	-	-	0.01	0.01	0.01	-	-	0.01	0.00
NN	0.00	0.00	-	0.00	0.05	-	0.36	3.56	0.13	0.03	7.07	0.03	0.16	0.00	0.23	-	0.00	0.03	4.02	2.11	0.01	0.00	0.00	0.02	0.13	0.62	-	1.24	-	0.00	0.03	0.00	-	0.00	-	-
RP	-	-	-	-	-	-	-	0.00	-	0.17	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBP	-	0.00	-	0.00	0.00	0.39	-	0.03	-	0.02	2.28	-	0.03	0.00	0.00	-	-	0.00	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
CD	-	-	-	-	-	3.52	0.02	0.02	-	-	-	1.53	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
JJ	0.15	-	-	-	0.16	5.40	0.05	-	1.00	0.05	0.48	0.03	1.36	0.44	1.04	0.00	-	0.06	0.44	0.04	0.00	0.00	0.00	0.00	0.01	0.00	-	0.76	-	0.02	0.00	0.01	-	-	-	-
JJS	-	-	-	-	-	0.04	-	0.00	-	-	-	-	-	-	-	0.53	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
CC	0.01	-	-	-	-	0.00	0.00	-	0.02	0.00	-	-	-	-	0.05	-	0.98	-	-	-	-	-	-	-	0.00	0.00	-	0.00	-	-	-	-	-	-	-	-
VBD	-	-	-	-	-	0.48	-	0.02	-	-	0.19	-	5.87	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-
RB	0.36	-	-	0.01	0.00	0.64	-	0.71	0.10	1.09	0.06	0.02	0.00	-	-	0.00	-	1.79	-	0.00	-	0.02	0.05	0.15	-	0.00	-	0.01	0.16	0.02	-	0.01	-	-	-	-
VB	0.00	-	-	-	0.02	1.76	0.00	0.17	-	0.05	-	-	0.18	-	0.02	-	-	0.01	-	3.69	-	-	-	0.00	-	-	-	0.03	-	0.01	-	-	-	-	-	-
