------------------------------------------
Baseline:
Word Error Rate = 10.56993253135143
Known Word WER = 8.318592877711469
Unknown Word WER = 84.10401593792596
	NN	WDT	JJ	RBS	VB	VBP	JJR	UH	RBR	VBZ	POS	VBD	PDT	IN	VBG	RP	PRP	VBN	RB	NNP	EX	CD	LS	NNPS	CC	NNS	PRP$	FW	JJS	DT	MD	WP	NPS	SYM	TO	$
VBG	1.27	-	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.00	1.10	0.01	-	-	-	-	0.69	-	-	-	-	1.40	-	-	-	0.00	-	-	0.00	-	-	-	-	0.07	-	-	0.00	-	-	-	-	-	-	-	-
RB	0.67	0.02	0.64	-	0.10	0.00	0.02	0.57	0.36	-	-	0.00	0.10	1.09	-	1.86	-	0.00	-	0.01	0.15	-	0.11	-	0.05	0.00	-	0.00	0.01	0.02	-	-	-	-	-	-
JJS	0.04	-	0.00	0.53	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.47	-	-	-	-	-	-	-	-	-	1.12	-	-	-	-	-	0.00	-	-	0.00	-	-	-	0.00	-	0.88	-	-	-	-	-	-	-	-	-	-
VBP	0.40	0.00	0.03	-	2.43	-	0.00	0.00	-	0.00	-	0.01	-	0.02	-	0.00	0.00	0.04	-	0.00	-	0.00	-	0.00	0.00	-	-	-	-	0.00	-	-	-	-	-	-
VB	1.76	-	0.17	-	-	3.43	0.02	0.00	0.00	-	-	0.02	-	0.05	-	0.01	-	0.19	0.01	0.03	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-
NN	-	0.00	3.40	-	7.38	2.03	0.00	0.12	-	0.00	-	0.03	0.13	0.04	3.38	0.02	0.00	0.24	0.24	1.26	-	0.12	0.01	0.00	0.00	0.40	-	0.11	0.00	0.00	0.03	-	-	0.00	-	-
JJR	0.08	-	0.00	-	-	-	-	-	1.48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	2.79	-	0.02	-	-	-	-	-	-	1.14	-	-	-	-	-	-	-	0.00	-	0.10	-	0.05	-	0.70	-	-	-	-	-	-	-	-	0.00	-	-	-
IN	0.02	4.79	0.17	-	0.00	0.00	-	-	-	-	-	-	-	-	0.00	3.11	-	-	1.85	0.00	-	-	-	-	0.01	-	-	0.13	-	0.03	-	-	-	0.00	0.00	-
VBN	0.76	-	0.19	-	0.34	0.00	-	-	0.00	-	-	2.77	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	5.59	-	-	-	0.45	0.04	0.02	0.01	0.15	-	-	0.22	0.84	0.05	0.48	0.06	0.00	1.33	1.10	0.67	-	0.01	0.99	0.38	0.00	0.04	-	0.01	0.02	0.00	0.00	-	-	-	0.00	-
RP	-	-	-	-	-	-	-	-	-	-	-	-	-	0.16	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
