------------------------------------------
Baseline:
Word Error Rate = 10.73813974479701
Known Word WER = 8.494625386199795
Unknown Word WER = 84.45513667847511
	NN	WDT	JJ	RBS	VBD	VB	VBP	RBR	VBZ	POS	RB	NNP	PDT	NNPS	IN	UH	VBG	RP	NNS	VBN	EX	CD	LS	JJS	PRP	DT	FW	PRP$	JJR	CC	MD	WP	TO	$	SYM
VBG	1.11	-	0.07	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.00	1.09	0.01	-	-	-	-	-	-	-	-	-	1.40	-	-	0.63	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.07	-	-	-	-	-
RB	0.55	0.02	0.69	-	0.00	0.07	0.00	0.39	-	-	-	0.02	0.10	-	1.08	0.59	-	1.73	-	0.00	0.15	-	0.01	0.01	-	0.02	0.00	-	0.02	0.05	-	-	-	-	-
JJS	0.05	-	0.01	0.52	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.46	-	-	-	-	-	0.00	-	-	1.20	-	0.00	-	0.00	-	-	-	-	0.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.79	-	0.14	-	2.63	0.23	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.40	0.00	0.05	-	0.00	2.21	-	-	0.00	-	0.00	0.00	-	0.00	0.02	-	-	0.00	-	0.06	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VB	1.82	-	0.17	-	0.03	-	3.70	0.00	-	-	0.00	0.04	-	-	0.05	-	-	0.01	0.00	0.30	-	0.00	-	-	-	0.00	-	-	0.02	-	0.00	-	-	-	-
JJR	0.08	-	-	-	-	-	-	1.43	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	2.71	-	0.01	-	0.00	-	-	-	1.33	0.00	-	0.09	-	0.82	-	-	-	-	-	0.00	-	0.09	-	-	-	-	0.00	-	-	-	-	-	-	-	-
IN	0.03	4.85	0.16	-	-	0.00	-	-	-	-	1.83	0.00	-	-	-	-	0.00	3.18	-	-	-	-	-	0.00	-	0.03	0.12	-	-	0.02	-	-	0.00	-	0.00
JJ	5.75	-	-	0.00	0.17	0.52	0.04	0.14	-	-	1.11	0.60	0.84	0.41	0.04	0.00	0.47	0.07	0.03	1.51	-	0.00	0.03	0.00	0.00	0.00	0.01	-	0.01	0.00	-	-	-	-	-
NN	-	0.00	3.48	-	0.04	6.94	2.09	-	0.00	-	0.24	1.23	0.12	0.00	0.03	0.14	4.67	0.03	0.32	0.24	-	0.13	0.02	0.00	0.01	0.00	0.23	-	0.01	0.00	0.03	-	0.00	-	0.00
NNP	8.30	-	1.25	0.00	0.00	0.04	0.01	0.01	0.00	0.00	0.06	-	0.00	1.62	0.03	0.00	0.04	0.02	0.13	0.02	-	0.04	0.37	0.02	0.00	0.09	0.23	0.00	0.01	0.00	0.01	-	-	0.01	-
RP	-	-	0.00	-	-	0.00	-	-	-	-	0.01	-	-	-	0.15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.46	-	0.02	-	-	0.16	0.00	-	-	-	-	-	-	-	-	-	-	-	-	5.78	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
''	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	3.30	-	0.01	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	0.01	-	-	-	1.56	-	0.00	-	-	-	-	-	-	-	-	-	-
FW	0.08	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	0.00	-	-	-	-	-
PRP	0.01	-	0.00	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	0.10	-	-	-	-	-	-	-
CC	0.00	-	-	-	-	-	-	0.01	-	-	0.05	0.00	0.03	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RBR	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-
UH	0.03	-	0.00	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-
WDT	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	0.02	-	-	-
NNPS	0.23	-	0.01	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
MD	0.00	-	-	-	-	0.00	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|IN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	0.00	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD|VB	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|VBZ	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
