------------------------------------------
Baseline:
Word Error Rate = 10.717687074829932
Known Word WER = 8.442957640976276
Unknown Word WER = 84.46316007026972
	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	NNS	PDT	IN	LS	VBN	RP	VBG	NNP	CD	EX	POS	VBZ	JJS	PRP	RBR	DT	NNPS	CC	FW	JJR	SYM	MD	PRP$	WP	TO	$
VBN	0.17	-	0.81	2.86	0.33	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
JJ	-	1.05	5.45	0.19	0.45	0.00	-	-	0.03	0.04	0.86	0.05	0.98	1.44	0.06	0.47	0.89	0.01	-	-	-	0.01	0.01	0.14	0.00	0.41	0.00	0.01	0.01	-	0.00	-	-	-	-
NNP	0.82	0.04	8.74	0.01	0.03	0.00	-	0.00	0.03	0.11	0.00	0.03	0.25	0.02	0.00	0.03	-	0.03	-	0.00	0.00	0.01	0.00	0.01	0.08	1.64	0.00	0.25	0.02	-	0.01	0.00	-	-	0.00
NN	3.51	0.23	-	0.04	7.33	0.10	-	-	1.67	0.33	0.11	0.02	0.01	0.22	0.04	4.05	1.20	0.12	-	-	0.01	0.00	0.04	-	0.01	0.01	0.00	0.17	0.00	0.00	0.03	-	-	0.00	-
CD	0.01	-	3.35	-	-	-	-	-	-	0.05	0.00	-	1.52	-	-	-	0.00	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-
RB	0.61	-	0.60	0.00	0.07	0.53	0.02	-	0.00	-	0.08	1.07	0.10	0.00	1.80	0.00	0.01	-	0.15	-	-	0.01	-	0.37	0.02	-	0.05	-	0.03	-	-	-	-	-	-
IN	0.16	1.86	0.02	-	-	-	4.91	-	0.00	-	-	-	-	0.00	3.22	-	0.01	-	-	-	-	0.00	-	-	0.02	-	0.01	0.15	-	-	-	-	-	0.00	-
VBG	0.06	-	1.19	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.01	-	0.00	-	-	0.68	1.07	-	-	-	1.33	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.08	0.00	-	-	-	-	-	-	-
JJS	0.00	-	0.06	-	-	-	-	0.51	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NNS	0.01	-	2.69	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.08	0.05	-	0.00	1.29	-	-	-	-	0.67	-	-	-	-	-	-	-	-	-
VBZ	-	-	0.48	-	-	-	-	-	0.00	0.81	-	-	-	-	-	-	0.00	-	-	1.20	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VBP	0.05	-	0.41	0.00	2.23	-	-	-	-	-	-	0.02	-	0.03	0.00	-	0.00	0.00	-	-	0.00	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-
VB	0.24	0.00	1.79	0.03	-	0.00	-	-	3.57	0.00	-	0.05	-	0.16	0.01	-	0.03	-	-	-	-	-	-	0.00	0.00	-	-	-	0.03	-	-	-	-	-	-
RP	0.00	0.01	-	-	0.00	-	-	-	-	-	-	0.16	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.02	-	0.52	-	0.15	-	-	-	0.00	-	-	-	-	5.49	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.00	0.00	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.42	-	-	-	-	-	-	-	-	-	-	-
FW	-	0.00	0.10	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-
CC	-	0.04	0.00	-	-	-	-	-	-	0.00	0.02	0.00	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-
RBR	-	0.00	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-
PRP	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.04	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-
LS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-
RBS	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-
NNPS	0.00	-	0.24	-	-	-	-	-	-	0.09	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.02	-	-
UH	0.00	0.00	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
