------------------------------------------
Baseline:
Word Error Rate = 10.096022260742634
Known Word WER = 8.392027224112786
Unknown Word WER = 83.86933827243644
	NN	NNS	JJ	PDT	IN	VB	WDT	JJS	PRP	VBP	RB	VBN	VBG	RP	UH	NNP	VBD	RBR	NNPS	LS	POS	VBZ	PRP$	CD	JJR	DT	FW	CC	EX	RBS	WP	MD	SYM	$
NNP	6.53	0.10	1.29	-	0.04	0.05	-	0.03	0.00	0.03	0.04	0.03	0.01	0.02	0.00	-	0.01	0.00	1.89	0.41	-	0.00	-	0.04	0.01	0.07	0.29	-	-	-	-	0.01	-	0.00
VBZ	0.38	0.84	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	0.01	-	1.33	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	-	0.34	3.39	0.11	0.02	7.79	-	-	0.00	1.69	0.31	0.27	4.64	0.02	0.01	1.34	0.04	-	0.01	0.04	-	0.01	-	0.16	0.01	-	0.27	0.01	-	-	-	0.04	0.00	-
RP	-	-	-	-	0.16	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.36	-	0.03	-	0.02	2.15	-	-	-	-	0.00	0.07	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.01	-	0.16	-	-	-	4.98	0.00	-	-	2.08	-	0.00	3.36	-	-	-	-	-	-	-	-	-	-	-	0.01	0.16	0.00	-	-	-	-	-	-
JJ	4.82	0.05	-	1.10	0.06	0.42	-	0.01	0.01	0.02	1.17	1.63	0.52	0.08	0.01	0.68	0.18	0.10	0.39	1.10	-	-	-	0.01	0.04	-	0.03	-	-	0.00	-	-	-	-
NNS	2.42	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	0.90	-	-	1.25	-	0.11	-	-	-	-	-	-	-	-	-	-
VB	1.58	0.00	0.24	-	0.06	-	-	-	-	3.95	0.00	0.31	-	0.01	0.02	0.03	0.01	0.00	-	-	-	-	-	0.00	0.03	-	-	-	-	-	-	-	-	-
RB	0.47	-	0.66	0.08	1.01	0.08	0.02	0.01	-	-	-	-	-	1.92	0.54	0.02	-	0.38	-	0.08	-	-	-	-	0.02	0.03	-	0.10	0.15	-	-	-	-	-
DT	0.00	-	0.01	1.43	-	-	1.14	-	-	-	-	-	-	-	0.74	-	-	-	-	-	-	-	-	-	-	-	-	0.09	-	-	-	-	-	-
VBD	0.38	-	0.02	-	-	0.12	-	-	-	0.00	-	6.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-
CD	2.95	0.01	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	0.01	-	-	-	1.51	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	0.18	0.03	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.54	-	0.15	-	-	0.28	-	-	-	-	-	-	-	-	-	0.00	2.78	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBG	0.88	-	0.08	-	-	-	-	-	-	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.08	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	1.44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	0.12	0.04	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.23	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.39	-	-	-	-
CC	0.00	-	-	0.02	0.00	-	-	-	-	-	0.01	-	-	-	-	0.00	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
FW	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-
MD	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.02	-	-	-	-	0.00	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	0.03	-	-	-
RBS	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
