------------------------------------------
Baseline:
Word Error Rate = 9.99253828934514
Known Word WER = 8.294651708023224
Unknown Word WER = 84.64199239017641
	NNS	JJ	RB	NN	VB	UH	VBD	POS	VBZ	PDT	IN	VBP	NNPS	VBN	RBR	LS	WDT	NNP	RP	VBG	CD	EX	CC	RBS	JJR	JJS	FW	MD	PRP	DT	WP	PRP$	SYM
VBZ	0.68	-	-	0.33	-	-	-	1.38	-	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	0.14	-	0.64	0.35	-	2.92	-	-	-	-	0.00	-	-	0.00	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.06	-	1.08	4.65	0.51	-	0.17	-	-	0.93	0.03	0.04	0.40	1.67	0.12	0.05	-	0.69	0.08	0.53	0.00	-	0.00	-	0.02	0.01	0.00	-	0.00	0.00	-	-	-
NNP	0.08	1.47	0.02	6.72	0.00	0.00	0.01	0.02	0.00	0.00	0.03	0.01	1.83	0.01	0.01	0.43	-	-	0.05	0.02	0.05	-	0.00	-	0.01	0.05	0.09	0.00	0.00	0.11	-	0.01	-
NN	0.39	3.45	0.24	-	7.85	0.02	0.05	-	0.01	0.15	0.02	1.77	0.00	0.21	-	0.03	-	1.42	0.01	5.20	0.15	-	0.00	-	0.01	0.00	0.22	0.03	0.00	0.01	-	-	0.00
CD	0.01	0.03	-	2.97	-	-	-	-	-	-	-	-	-	-	-	1.71	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	0.81	-	0.55	0.07	0.53	-	-	-	0.09	1.04	-	-	-	0.39	0.02	0.03	0.02	1.90	0.00	-	0.16	0.04	-	0.05	0.01	-	-	-	0.02	-	-	-
IN	-	0.20	1.93	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	5.10	-	3.28	-	-	-	0.02	-	-	-	0.18	-	-	0.01	-	-	-
VB	0.00	0.23	0.00	1.65	-	0.01	0.01	-	-	-	0.04	3.55	-	0.17	0.00	-	-	0.03	0.01	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-
NNS	-	0.03	-	2.23	-	-	-	-	1.36	-	-	-	0.96	-	-	-	-	0.08	-	-	0.08	-	-	-	-	-	0.00	-	-	-	-	-	-
DT	-	0.01	0.00	-	-	0.74	-	-	-	1.39	-	-	-	-	-	-	1.17	-	-	-	-	-	0.09	-	-	-	0.01	-	0.00	-	-	-	-
RP	-	-	0.02	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	0.04	-	0.38	2.68	-	0.01	-	-	-	0.02	-	0.00	0.01	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
VBD	-	0.02	-	0.33	0.17	-	-	-	-	-	-	0.00	-	6.07	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	1.56	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.04	-	-	-	-	-	-	0.03	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VBG	-	0.05	-	0.90	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
