------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
IN	3.15	1.89	-	0.16	-	-	-	-	0.01	4.96	-	-	-	-	0.00	-	-	-	-	0.03	-	-	-	-	0.15	0.04	-	-	-	-	-	-	-	-	-	-
JJ	0.06	1.06	1.11	-	0.43	-	0.00	0.06	4.68	-	1.14	1.61	0.15	0.53	0.04	0.58	-	0.05	0.15	-	0.01	-	0.54	0.01	0.01	0.00	-	-	0.01	0.01	-	-	-	-	0.00	-
NN	0.04	0.29	0.12	3.55	7.72	-	0.12	0.03	-	-	0.01	0.26	0.05	4.69	2.35	1.40	0.00	0.29	-	0.01	0.12	-	0.01	0.00	0.14	0.01	0.04	-	0.00	0.01	-	-	0.00	-	-	-
VBN	-	-	-	0.10	0.38	-	-	-	0.50	-	-	-	2.68	-	0.00	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	2.02	-	0.06	0.66	0.07	0.15	-	1.21	0.51	0.02	0.09	0.00	-	0.00	0.00	0.03	-	-	0.38	0.09	0.58	-	-	0.01	0.00	0.03	-	-	0.01	-	-	-	-	-	-	-
VBP	0.00	0.00	-	0.05	2.38	-	0.00	0.03	0.35	-	-	0.03	0.00	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	0.01	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.07	-	-	-	-	1.06	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.00	0.01	-	0.19	-	-	-	0.05	1.49	-	-	0.17	0.00	-	3.75	0.04	-	-	-	-	0.00	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	-	-	0.01	-	-	0.12	-	2.11	-	-	-	-	-	-	0.07	1.27	-	-	-	-	0.00	0.90	-	-	-	-	-	-	-	-	-	-	0.01	-	-
DT	-	-	1.43	0.01	-	-	-	-	0.00	1.16	-	-	-	-	-	-	-	-	-	0.05	0.78	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-
CD	-	-	-	0.03	-	-	-	-	2.89	-	1.62	-	-	-	-	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.03	0.05	-	1.32	0.02	-	0.03	0.02	6.59	-	0.33	0.03	0.01	0.02	0.01	-	0.00	0.10	0.00	0.00	0.01	0.00	1.97	0.03	0.31	0.08	0.01	-	0.01	0.01	-	0.00	-	-	-	0.00
VBD	-	-	-	0.01	0.20	-	-	-	0.33	-	-	6.06	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	-	0.30	-	-	-	-	-	0.00	-	-	0.74	-	-	-	1.21	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	0.01	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	1.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.00	-	-	-	-	-	-	0.01	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.00	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.44	-	-	-	-	-	-	-	-
