------------------------------------------
Baseline:
Word Error Rate = 9.99745813872208
Known Word WER = 8.278409414135831
Unknown Word WER = 84.40028139289483
	RP	RB	PDT	JJ	VB	EX	VBG	NN	IN	LS	WDT	POS	VBP	VBZ	VBN	RBR	CC	VBD	RBS	NNS	UH	NNP	NNPS	FW	CD	DT	JJR	JJS	PRP$	TO	MD	NPS	WP	PRP
IN	3.22	2.05	-	0.13	-	-	-	0.00	-	-	5.19	-	-	-	-	-	0.03	-	-	-	-	-	-	0.13	-	0.03	-	-	-	-	-	-	-	-
JJ	0.05	1.33	1.14	-	0.39	-	0.51	5.20	0.09	1.03	-	-	0.02	-	1.54	0.14	-	0.19	-	0.04	0.01	0.69	0.36	0.01	0.00	0.00	0.03	0.01	0.00	-	-	-	-	0.00
NN	0.03	0.22	0.13	3.45	7.51	-	3.64	-	0.03	0.05	-	-	1.65	0.00	0.23	-	0.00	0.05	-	0.33	0.11	1.31	0.00	0.19	0.14	0.00	0.01	-	-	0.00	0.03	-	-	-
VBN	-	-	-	0.17	0.39	-	-	0.63	-	-	-	-	0.00	-	-	0.00	-	2.89	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-
RB	1.97	-	0.09	0.65	0.07	0.11	-	0.47	1.17	0.11	-	-	0.00	-	0.00	0.41	0.10	0.00	-	0.00	0.60	0.01	-	-	-	0.02	0.02	0.02	-	-	-	-	-	-
CD	-	0.00	-	0.04	-	-	-	2.94	-	1.58	-	-	-	-	-	-	-	-	-	0.01	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-
DT	-	-	1.43	0.01	-	-	-	0.00	-	-	1.17	-	-	-	-	-	0.13	-	-	-	0.72	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	-	-	-	-	-	0.41	-	-	-	1.23	-	-	-	-	-	-	-	0.83	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-
VB	0.01	0.00	-	0.19	-	-	-	1.76	0.04	-	-	-	3.48	-	0.22	-	-	0.00	-	-	0.00	0.01	-	-	-	0.00	0.03	-	-	-	-	-	-	-
NNS	-	-	-	0.02	-	-	-	2.15	-	-	-	-	-	1.45	0.00	-	-	0.00	-	-	-	0.07	0.96	0.00	0.13	-	-	-	-	-	-	0.01	-	-
NNP	0.00	0.06	0.00	1.17	0.03	-	0.03	6.72	0.03	0.38	-	0.00	0.02	-	0.01	0.01	0.01	0.01	-	0.10	0.01	-	1.83	0.11	0.04	0.08	0.02	0.05	0.00	-	0.00	-	-	0.00
VBD	-	-	-	0.02	0.19	-	-	0.30	-	-	-	-	0.00	-	6.30	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
JJR	-	0.00	-	-	-	-	-	0.04	-	-	-	-	-	-	-	1.66	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	0.00	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	0.04	-	-	-	1.13	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	0.01	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.00	-	-	-	0.10	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.00	-	-	0.04	2.49	-	-	0.39	0.02	-	-	-	-	-	0.03	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	0.00	-	-	-
PRP	-	-	-	-	-	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	0.03	-	-	-	0.11	-	-	-	-	-
CC	-	0.01	0.02	-	-	-	-	-	0.00	-	-	-	-	-	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
