------------------------------------------
Baseline:
Word Error Rate = 10.071497213146262
Known Word WER = 8.380738218886735
Unknown Word WER = 84.4663553018509
	NNS	JJ	RB	NN	VB	UH	RBR	VBZ	POS	WDT	VBD	CD	IN	RP	EX	VBN	VBP	RBS	VBG	NNP	NNPS	DT	PDT	CC	PRP$	LS	FW	JJS	JJR	SYM	MD	WP	PRP	NPS
VBZ	0.91	-	-	0.38	-	-	-	-	1.28	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	-	0.14	-	0.55	0.22	-	-	-	-	-	2.67	-	-	-	-	-	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.05	-	1.10	4.90	0.61	0.01	0.16	-	-	-	0.20	0.00	0.04	0.04	-	1.58	0.04	-	0.54	0.59	0.39	0.00	0.93	0.00	0.00	0.02	0.00	0.01	0.01	-	-	-	0.00	-
NNP	0.09	1.30	0.05	6.33	0.04	-	0.01	0.00	0.01	-	0.01	0.03	0.03	0.02	-	0.00	0.03	-	0.04	-	1.76	0.08	0.00	0.00	0.00	0.44	0.26	0.01	0.02	-	0.01	-	0.01	-
NN	0.35	3.46	0.23	-	8.03	0.14	-	0.00	-	-	0.04	0.12	0.03	0.03	-	0.21	1.97	-	4.77	1.30	0.00	0.02	0.13	0.00	-	0.03	0.22	0.01	0.00	-	0.02	-	0.00	-
CD	0.00	0.01	-	2.96	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	1.56	-	-	-	-	-	-	0.00	-
RB	-	0.73	-	0.55	0.08	0.59	0.44	-	-	0.01	-	0.00	1.07	1.98	0.12	-	0.00	0.00	-	0.01	-	0.00	0.09	0.10	-	0.03	-	0.02	0.03	-	-	-	-	-
IN	-	0.14	1.93	0.01	0.00	-	-	-	-	5.37	-	-	-	3.26	-	-	-	-	-	-	-	0.02	-	-	-	-	0.10	-	-	-	-	-	-	-
JJR	-	0.00	-	0.08	-	-	1.54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	0.01	-	2.16	-	-	-	1.34	0.00	-	-	0.12	-	-	-	-	-	-	-	0.09	0.93	-	-	-	-	-	-	-	-	-	-	-	-	0.00
VBP	-	0.05	-	0.40	2.51	0.00	-	-	-	-	0.00	0.00	0.02	-	-	0.10	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
RP	-	0.00	0.00	-	-	-	-	-	-	-	-	-	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	0.08	-	0.99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.01	-	0.29	0.17	-	-	-	-	-	-	-	-	-	-	6.16	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
VB	-	0.15	0.00	1.72	-	0.00	-	-	-	-	0.01	-	0.06	0.01	-	0.32	3.65	-	-	0.03	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
JJS	-	-	-	0.06	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.58	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.02	-	-	-	0.70	-	-	-	1.23	-	-	-	-	-	-	-	-	-	-	-	-	1.63	0.06	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.01	-	-	-	-	0.00	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	0.00	-	0.02	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	0.00	-	-	-	-	-	-	-
RBR	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-
LS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	0.00	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-
WP	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.03	-	-
NNPS	0.07	0.01	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00
UH	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	0.00	0.09	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
RB|JJ	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.916202191043629
Known Word WER = 8.380738218886735
Unknown Word WER = 77.47794499221587
	NNP	NNS	JJ	RB	VBN	VB	UH	RBR	VBZ	POS	WDT	VBD	CD	IN	RP	EX	NN	VBP	RBS	VBG	NNPS	DT	PDT	CC	PRP$	LS	FW	JJS	JJR	SYM	MD	WP	PRP	NPS
NN	1.46	0.35	3.51	0.24	0.23	8.15	0.14	-	0.00	-	-	0.04	0.13	0.03	0.03	-	-	2.00	0.01	5.09	0.01	0.02	0.13	0.00	-	0.03	0.22	0.01	0.00	-	0.02	-	0.00	-
VBZ	0.02	0.93	-	-	-	-	-	-	-	1.30	-	-	-	-	-	-	0.34	0.00	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN	0.02	-	0.15	-	-	0.22	-	-	-	-	-	2.71	-	-	-	-	0.54	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.67	0.05	-	1.16	1.64	0.62	0.01	0.17	-	-	-	0.20	0.00	0.04	0.05	-	4.55	0.05	0.01	0.80	0.42	0.00	0.94	0.00	0.00	0.02	0.00	0.01	0.01	-	-	-	0.00	-
NNP	-	0.09	1.32	0.08	0.12	0.04	-	0.01	0.00	0.01	-	0.01	0.03	0.03	0.02	-	5.09	0.03	0.01	0.11	2.33	0.08	0.00	0.00	0.00	0.45	0.27	0.01	0.02	-	0.01	-	0.01	-
CD	2.98	0.00	0.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	0.00	-	-	1.59	-	-	-	-	-	-	0.00	-
RB	0.01	-	0.74	-	-	0.08	0.60	0.44	-	-	0.01	-	0.00	1.09	2.01	0.13	0.15	0.00	0.00	-	0.00	0.00	0.09	0.10	-	0.03	-	0.02	0.03	-	-	-	-	-
IN	-	-	0.14	1.96	-	0.00	-	-	-	-	5.46	-	-	-	3.31	-	0.00	-	-	0.00	-	0.02	-	-	-	-	0.10	-	-	-	-	-	-	-
JJR	-	-	0.00	-	-	-	-	1.56	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	0.15	-	0.01	-	0.01	-	-	-	1.36	0.00	-	-	0.12	-	-	-	1.82	-	-	0.00	1.24	-	-	-	-	-	-	-	-	-	-	-	-	0.00
VBP	0.00	-	0.05	-	0.10	2.55	0.00	-	-	-	-	0.00	0.00	0.02	-	-	0.41	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
RP	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	0.03	-	0.01	-	6.25	0.17	-	-	-	-	-	-	-	-	-	-	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
VB	0.04	-	0.15	0.00	0.34	-	0.00	-	-	-	-	0.01	-	0.06	0.01	-	1.73	3.71	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
JJS	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	0.64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	-	0.02	-	-	-	0.71	-	-	-	1.25	-	-	-	-	-	-	-	-	-	-	-	1.66	0.06	-	-	-	-	-	-	-	-	-	-
PRP	0.00	-	-	-	-	-	-	-	-	0.00	-	-	0.03	-	-	-	0.00	-	-	-	0.00	-	-	-	0.12	-	-	-	-	-	-	-	-	-
