------------------------------------------
Baseline:
Word Error Rate = 10.126858055811429
Known Word WER = 8.438872992792032
Unknown Word WER = 84.5424780286059
	WDT	JJ	RBS	NN	VB	VBP	JJR	UH	RB	POS	NNP	PDT	RBR	NNPS	LS	VBN	CD	IN	RP	EX	VBD	VBZ	VBG	DT	NNS	PRP$	FW	CC	JJS	SYM	MD	PRP	WP	NPS
DT	1.25	0.01	-	-	-	-	-	0.63	-	-	-	1.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.07	-	-	-	0.00	-	-
RB	0.03	0.76	-	0.45	0.10	-	0.03	0.64	-	-	0.01	0.10	0.47	-	0.10	0.01	-	1.02	1.79	0.18	0.00	-	-	0.01	-	-	-	0.03	0.03	-	-	-	-	-
JJS	-	-	0.41	0.05	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	0.02	-	2.14	-	-	-	-	-	-	0.08	-	-	0.96	-	-	0.07	-	-	-	-	1.27	-	-	-	-	-	-	-	-	-	-	-	0.01
VBZ	-	-	-	0.30	-	0.00	-	-	-	1.27	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.83	-	-	-	-	-	-	-	-	-
VBP	-	0.02	-	0.43	2.52	-	-	-	-	-	0.00	-	-	0.00	-	0.01	0.00	0.04	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
VB	-	0.22	-	1.57	-	3.61	0.03	0.00	0.00	-	0.03	-	-	-	-	0.16	-	0.03	0.01	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	-	0.00	5.13	0.43	0.01	0.01	0.01	1.10	-	0.68	1.13	0.10	0.43	1.02	1.53	0.01	0.05	0.09	-	0.21	-	0.50	0.00	0.07	0.00	0.03	0.00	0.01	-	-	0.00	-	-
NN	-	3.61	-	-	7.49	1.88	0.01	0.01	0.21	-	1.28	0.10	-	0.01	0.06	0.26	0.10	0.03	0.03	-	0.03	-	5.03	0.01	0.35	-	0.25	0.01	0.00	0.01	0.04	0.01	-	-
VBN	-	0.17	-	0.58	0.29	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	2.78	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-
NNP	-	1.33	-	6.60	0.03	0.04	0.01	0.00	0.08	0.01	-	-	0.01	1.90	0.38	0.03	0.03	0.03	0.01	-	0.00	0.01	0.01	0.06	0.15	0.00	0.29	-	0.01	-	0.02	0.01	-	-
CD	-	0.01	-	2.92	-	-	-	-	-	-	0.00	0.00	-	-	1.56	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-	0.00	-	-
IN	5.29	0.18	-	0.02	-	-	-	-	2.04	-	0.00	-	-	-	-	-	-	-	3.15	-	-	-	-	0.03	-	-	0.12	0.01	-	-	-	-	-	-
RP	-	0.00	-	-	0.00	-	-	-	0.01	-	-	-	-	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	0.05	-	0.83	-	-	-	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.02	-	0.34	0.15	-	-	-	-	-	0.00	-	-	-	-	5.83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
JJR	-	0.01	-	0.04	-	-	-	-	-	-	0.00	-	1.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.00	-	-	-	-	-	0.01	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	-	-	-	0.04	-	0.00	0.01	0.02	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
RBR	-	-	-	0.00	-	-	0.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	-
''	-	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-
MD	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.04	-	-	-	-	-	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-
NNPS	-	-	-	0.21	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.05	-	-	-	-	-	-	-	-	0.00
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.02	-
WRB	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	-	-	-	0.02	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
IN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
``	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|DT	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.981997546162342
Known Word WER = 8.438872992792032
