------------------------------------------
Baseline:
Word Error Rate = 9.839130604136642
Known Word WER = 8.275944333996025
Unknown Word WER = 85.0095602294455
	NNPS	VB	VBG	NN	VBP	RBS	WDT	NNS	IN	VBN	RP	JJ	VBZ	POS	PDT	UH	VBD	LS	RB	NNP	JJR	FW	RBR	DT	EX	JJS	CD	WP	PRP$	NPS	CC	PRP	MD	TO
NNP	2.01	0.03	0.03	6.72	0.00	-	-	0.15	0.04	0.03	0.05	1.49	-	0.00	0.00	0.02	-	0.58	0.03	-	0.02	0.17	-	0.07	-	0.06	0.03	-	-	-	0.01	0.00	0.02	-
NN	0.01	7.71	4.74	-	1.60	-	-	0.36	0.05	0.30	0.03	3.77	-	-	0.12	0.01	0.09	0.10	0.28	1.29	-	0.13	-	0.00	-	0.01	0.14	-	-	-	-	0.01	0.03	-
JJ	0.49	0.53	0.68	4.75	0.03	-	-	0.03	0.07	1.58	0.11	-	-	-	1.09	0.01	0.16	0.29	1.15	0.77	0.03	0.01	0.11	-	-	0.02	-	-	-	-	-	-	-	-
VB	-	-	-	1.70	3.92	-	-	-	0.04	0.21	0.01	0.11	-	-	-	-	0.03	-	0.00	0.02	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	-
JJS	-	-	-	0.04	-	0.45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	0.00	0.01	-	-	5.17	-	-	-	3.43	0.17	-	-	-	-	-	-	2.05	-	-	0.12	-	0.04	-	-	-	-	-	-	0.00	-	-	0.00
VBZ	0.00	-	-	0.30	-	-	-	0.77	-	-	-	-	-	1.38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	0.15	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD	-	0.13	-	0.41	-	-	-	-	-	6.48	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	-	2.02	-	0.41	-	-	-	-	0.03	0.03	-	0.03	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	1.11	-	-	1.79	-	-	-	-	-	-	-	0.02	1.35	-	-	-	-	-	-	0.06	-	-	-	-	-	-	0.14	-	-	0.02	-	-	-	-
VBG	-	-	-	0.89	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	-	-	-	-	-	1.17	-	-	-	-	0.02	-	-	1.52	0.53	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.07	0.00	-	-
RB	-	0.07	-	0.39	0.01	-	0.00	-	0.97	0.00	1.79	0.76	-	-	0.11	0.64	-	0.03	-	-	0.04	-	0.37	0.02	0.19	0.03	-	-	-	-	0.00	-	-	-
VBN	-	0.32	-	0.43	0.00	-	-	-	-	-	-	0.08	-	-	-	-	3.11	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	2.62	-	-	-	0.01	-	-	-	0.01	-	-	-	-	-	1.59	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.50	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-
