------------------------------------------
Baseline:
Word Error Rate = 9.876232335256233
Known Word WER = 8.18385387814336
Unknown Word WER = 85.06065857885615
	VB	LS	VBN	NNPS	WDT	RB	NN	RBS	NNS	JJ	VBG	IN	POS	PDT	VBP	VBZ	RP	RBR	NNP	UH	VBD	FW	DT	EX	CC	JJS	WP	PRP$	TO	CD	JJR	PRP	SYM	MD	NPS
VBP	2.31	-	0.07	0.00	-	-	0.29	-	-	0.06	-	0.01	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	1.68	-	-	-	-	2.85	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	0.05	0.54	0.03	1.90	-	0.03	6.77	-	0.13	1.34	0.01	-	0.00	0.00	0.01	0.00	0.06	0.01	-	0.00	0.03	0.13	0.09	-	-	0.05	-	0.00	-	0.05	0.01	0.00	-	0.01	-
IN	-	-	-	-	5.51	2.26	0.02	-	-	0.23	0.00	-	-	-	-	-	3.23	-	-	-	-	0.17	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-
JJ	0.56	0.07	1.54	0.55	-	0.95	4.79	-	0.06	-	0.51	0.03	-	1.08	0.02	-	0.08	0.16	0.80	0.00	0.26	0.00	-	-	-	-	-	-	-	0.02	0.01	-	-	-	-
VBN	0.33	-	-	-	-	-	0.61	-	-	0.10	-	-	-	-	0.00	0.00	-	-	0.00	-	2.66	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	-	-	-	-	-	0.08	0.49	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	7.92	-	0.25	-	-	0.15	-	-	0.37	3.69	3.82	0.03	-	0.15	1.67	-	0.03	-	1.28	0.17	0.06	0.27	0.00	-	0.00	0.00	-	-	0.00	0.14	-	0.01	0.00	0.03	-
RB	0.11	0.02	-	-	0.02	-	0.50	-	-	0.73	0.00	1.12	-	0.06	-	-	1.83	0.37	0.03	0.57	-	-	0.03	0.20	0.09	-	-	-	-	-	0.05	-	-	-	-
DT	-	-	-	-	1.10	-	-	-	-	0.02	-	-	-	1.46	-	-	-	-	-	0.79	-	0.00	-	-	0.10	-	-	-	-	-	-	0.01	-	-	-
VBZ	-	-	-	0.00	-	-	0.27	-	0.74	-	-	-	1.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	-	-	0.36	-	-	-	1.56	-	-	0.21	-	0.05	-	-	3.70	-	0.03	-	0.05	-	0.01	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-
NNS	-	-	-	0.79	-	-	2.18	-	-	0.01	-	-	-	-	-	1.48	-	-	0.06	-	-	-	-	-	-	-	-	-	-	0.10	-	-	-	-	-
VBD	0.16	-	6.31	-	-	-	0.37	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	-	-	-	-	-	0.06	-	-	-	-	-	-	-	-	-	-	1.68	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	-	-	0.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	-	-	-	1.25	-	-	0.07	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UH	0.01	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	-	-	-	0.04	-	-	0.01	-	-	0.01	-	0.05	-	-	-	0.03	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
