------------------------------------------
Baseline:
Word Error Rate = 9.96806066899525
Known Word WER = 8.415785923094221
Unknown Word WER = 84.3076923076923
	RBR	VBZ	POS	WDT	VBD	NN	NNS	VBN	RB	RP	JJ	VBP	NNPS	VB	VBG	NNP	PDT	UH	DT	RBS	LS	CD	IN	CC	EX	JJR	SYM	MD	FW	PRP$	PRP	JJS	WP	$
JJR	1.46	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	1.54	-	-	-	2.02	-	-	-	-	0.01	-	0.97	-	-	0.09	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	1.17	-	-	0.33	0.79	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	-	5.05	-	0.01	-	-	2.12	3.17	0.10	-	-	-	-	-	-	-	0.06	-	-	-	-	0.02	-	-	-	-	0.06	-	-	-	-	-
VBN	0.00	-	-	-	2.84	0.49	-	-	-	-	0.11	-	-	0.24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.13	-	-	-	0.14	4.82	0.06	1.53	1.13	0.05	-	0.03	0.47	0.53	0.60	0.66	1.07	0.00	-	-	0.89	0.01	0.03	0.00	-	0.01	-	-	-	-	0.00	0.00	-	-
NNP	0.02	0.00	-	-	-	5.65	0.10	0.02	0.03	0.00	1.27	0.03	1.85	0.01	0.03	-	-	-	0.11	-	0.39	0.03	0.01	-	-	0.01	-	0.00	0.05	0.00	0.01	0.01	-	0.01
VBD	0.01	-	-	-	-	0.33	-	5.71	-	-	0.02	-	-	0.16	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
NN	-	0.00	-	-	0.05	-	0.41	0.34	0.24	0.02	3.44	1.71	-	7.79	4.96	1.44	0.16	0.14	0.01	-	0.02	0.13	0.04	-	-	0.00	0.02	0.03	0.23	-	0.03	-	-	-
VB	-	-	-	-	0.00	1.65	-	0.33	-	0.00	0.26	3.95	-	-	-	0.03	-	-	-	-	-	-	0.03	-	-	0.02	-	-	-	-	-	-	-	-
DT	-	-	-	1.12	-	-	-	-	-	-	0.00	-	-	-	-	-	1.56	0.80	-	-	-	-	-	0.06	-	-	-	-	0.00	-	-	-	-	-
RB	0.41	-	-	0.03	-	0.41	0.00	0.00	-	2.09	0.51	0.00	-	0.07	0.00	0.00	0.08	0.57	0.01	-	0.11	-	0.97	0.05	0.15	0.02	-	-	-	-	-	0.01	-	-
VBP	-	0.00	-	0.00	-	0.43	-	0.07	0.00	-	0.05	-	-	2.61	-	0.00	-	-	-	-	-	-	0.02	-	-	0.00	-	-	-	-	0.00	-	-	-
JJS	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	0.00	-	-	-	0.45	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	-	-	-	2.94	0.00	-	-	-	0.03	-	-	-	-	0.00	-	-	-	-	1.52	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	-	-	-	-	-	0.89	-	-	-	-	0.07	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.21	-	-	-	-	-	-	-	-
RP	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.14	-	-	-	-	-	-	-	-	-	-	-
CC	0.01	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	0.00	0.04	-	-	-	-	-	0.00	-	-	-	1.06	-	-	-	-	-	-	-
UH	-	-	-	-	-	0.09	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	-	-	-	-	-	0.00	-	-	-	-	-	0.01	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	-	-	0.17	0.10	-	-	-	0.00	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	0.01	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	0.06	-	-	-	-
''	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-
RB|RP	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-
VBN|JJ	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-
NNS|NN	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
:	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
WDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-
PDT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Baseline Improved:
Word Error Rate = 9.834324553950722
Known Word WER = 8.415785923094221
Unknown Word WER = 77.76923076923077
	RBR	VBZ	POS	WDT	VBD	NN	NNS	VBN	RB	RP	JJ	VBP	NNPS	VB	VBG	NNP	PDT	UH	DT	RBS	LS	CD	IN	CC	EX	JJR	SYM	MD	FW	PRP$	PRP	JJS	WP	$
JJR	1.47	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS	-	1.56	-	-	-	1.60	-	0.00	-	-	0.01	-	1.31	-	-	0.20	-	-	-	-	-	0.11	-	-	-	-	-	-	-	-	-	-	-	-
VBZ	-	-	1.19	-	-	0.30	0.80	-	-	-	-	0.00	0.03	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	-	-	5.11	-	0.01	-	-	2.15	3.21	0.10	-	-	-	-	-	-	-	0.06	-	-	-	-	0.02	-	-	-	-	0.06	-	-	-	-	-
VBN	0.00	-	-	-	2.87	0.49	-	-	-	-	0.11	-	-	0.24	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.13	-	-	-	0.15	4.34	0.06	1.60	1.21	0.05	-	0.03	0.50	0.54	0.92	0.73	1.08	0.00	-	0.03	0.91	0.01	0.03	0.00	-	0.01	-	-	-	-	0.00	0.00	-	-
