"Word Error Rate = 10.052616313455513"																						
"Known WER = 8.358903128677944"																						
"Unknown WER = 84.34602579034213"																						
	"NN"	"NNS"	"JJ"	"PDT"	"IN"	"VB"	"WDT"	"PRP"	"VBP"	"RB"	"VBN"	"VBG"	"RP"	"UH"	"NNP"	"VBD"	"RBR"	"NNPS"	"LS"	"POS"	"VBZ"	
"CD"	3	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0	
"DT"	0	0	0.01	1.45	0	0	1.18	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0	
"IN"	0	0	0.16	0	0	0	5.08	0	0	1.98	0	0	3.25	0	0	0	0	0	0	0	0	
"JJ"	4.91	0.05	0	1	0.05	0.47	0	0	0.03	1.17	1.59	0.54	0.06	0	0.69	0.17	0.12	0.42	0.61	0	0	
"JJR"	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54	0	0	0	0	
"NN"	0	0.35	3.52	0.13	0.03	7.69	0	0	1.83	0.24	0.24	4.56	0.02	0.09	1.37	0.04	0	0	0.03	0	0	
"NNP"	6.53	0.1	1.27	0	0.03	0.03	0	0	0.02	0.05	0.02	0.02	0.02	0	0	0	0	1.84	0.39	0	0	
"NNPS"	0.2	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	
"NNS"	2.14	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.96	0	0	1.36	
"RB"	0.49	0	0.72	0.08	1.12	0.08	0.01	0	0	0	0	0	1.92	0.59	0.01	0	0.4	0	0.06	0	0	
"VB"	1.63	0	0.19	0	0.05	0	0	0	3.69	0	0.23	0	0	0	0.02	0.01	0	0	0	0	0	
"VBD"	0.34	0	0.01	0	0	0.16	0	0	0	0	6.13	0	0	0	0	0	0	0	0	0	0	
"VBG"	0.96	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	
"VBN"	0.57	0	0.14	0	0	0.3	0	0	0	0	0	0	0	0	0	2.81	0	0	0	0	0	
"VBP"	0.39	0	0.04	0	0.02	2.43	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	
"VBZ"	0.35	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	
"------------------------"																						
"Word Error Rate = 9.896525851194404"																						
"Known WER = 8.358903128677944"																						
"Unknown WER = 77.34326133218082"																						
	"NN"	"NNS"	"JJ"	"PDT"	"IN"	"VB"	"WDT"	"PRP"	"VBP"	"RB"	"VBN"	"NNP"	"VBG"	"RP"	"UH"	"VBD"	"RBR"	"NNPS"	"LS"	"POS"	"VBZ"	
"CD"	0.02	0.01	0.01	0	0	0	0	0	0	0	0	3.02	0	0	0	0	0	0	1.64	0	0	
"DT"	0	0	0.01	1.47	0	0	1.2	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	
"IN"	0	0	0.16	0	0	0	5.15	0	0	2.01	0	0	0	3.3	0	0	0	0	0	0	0	
"JJ"	4.47	0.05	0	1.01	0.05	0.48	0	0	0.03	1.23	1.66	0.76	0.88	0.06	0	0.17	0.13	0.45	0.61	0	0	
"JJR"	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56	0	0	0	0	
"NN"	0	0.35	3.58	0.13	0.03	7.81	0	0	1.86	0.25	0.26	1.51	4.87	0.03	0.09	0.04	0	0.01	0.03	0	0	
"NNP"	5.27	0.1	1.29	0	0.03	0.03	0	0	0.02	0.07	0.14	0	0.08	0.02	0	0	0	2.37	0.4	0	0	
"NNPS"	0	0.05	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	
"NNS"	1.75	0	0.01	0	0	0	0	0	0	0	0.01	0.15	0	0	0	0	0	1.31	0	0	1.38	
"RB"	0.13	0	0.73	0.08	1.13	0.08	0.01	0	0	0	0	0.02	0	1.95	0.6	0	0.4	0	0.06	0	0	
"VB"	1.63	0	0.19	0	0.05	0	0	0	3.75	0	0.24	0.04	0	0	0	0.01	0	0	0	0	0	
"VBD"	0.32	0	0.01	0	0	0.16	0	0	0	0	6.23	0.02	0	0	0	0	0	0	0	0	0	
