Word Error Rate = 9.937543814624286
Known WER = 8.355191659121873
Unknown WER = 84.72396544929997
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
VBP	2.34	0	0.04	0.0	0.00	0.0	0.0	0.39	0	0	0	0	0	0	0	0.02	0.00	0	0	0.00	0.04	0	0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0
CD	0	1.70	0	0	0	0	0.0	2.89	0	0	0	0	0	0	0.01	0	0	0	0	0.00	0.01	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
NNP	0.03	0.43	0.02	1.89	0.00	0	0.03	6.22	0	0.00	0.00	0.02	0.00	0.07	0.12	0.02	0.02	0.00	0.02	0	1.27	0.00	0.0	0.00	0	0.02	0.17	0.03	0	0.00	0.03	0.01	0	0	0	0.00	0.0
VBN	0.32	0	0	0	2.83	0	0	0.53	0	0	0.00	0.00	0	0	0.0	0	0	0	0	0.00	0.14	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
IN	0	0	0	0	0	5.09	2.04	0.01	0	0	0	0.0	0	0.02	0	0	3.34	0.01	0.0	0.0	0.16	0	0	0	0	0	0.11	0	0.0	0	0	0	0.0	0	0	0	0
JJ	0.48	0.57	1.63	0.46	0.19	0	1.12	4.73	0.0	0.98	0.15	0.02	0	0.00	0.05	0.04	0.07	0.0	0.56	0.69	0	0.00	0.0	0	0	0.01	0.00	0.01	0.0	0.00	0.01	0.0	0	0	0	0	0
JJS	0	0.0	0	0	0	0	0	0.05	0.43	0	0.00	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB	0	0	0.26	0	0.01	0	0.00	1.60	0	0	0.0	3.71	0	0	0.00	0.06	0.02	0	0	0.03	0.21	0.0	0	0	0	0.01	0	0	0	0	0	0.0	0	0	0	0	0
NNS	0	0	0.0	0.96	0.0	0	0	1.92	0	0	0	0	0.0	0	0	0	0	0	0	0.06	0.01	0	0	1.37	0	0	0	0.10	0	0	0	0	0	0.00	0	0	0
NN	7.92	0.04	0.26	0.00	0.05	0.0	0.26	0	0	0.13	0	1.73	0	0.00	0.35	0.03	0.02	0.00	4.68	1.36	3.64	0.12	0	0.00	0	0.00	0.24	0.11	0.0	0.01	0.00	0.03	0.00	0	0	0	0
DT	0	0	0	0	0	1.19	0	0	0	1.48	0	0	0	0	0	0	0	0.07	0	0	0.01	0.72	0	0	0	0	0.00	0	0	0.00	0	0	0	0	0	0	0
VBZ	0	0	0	0.00	0	0	0	0.34	0	0	0	0.0	1.20	0	0.78	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.16	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD	0.17	0	6.33	0	0	0	0	0.31	0	0	0.00	0	0	0	0	0	0	0	0	0.0	0.01	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0
RB	0.08	0.06	0.0	0	0.0	0.01	0	0.46	0.0	0.11	0.37	0.00	0	0.01	0.0	1.12	1.93	0.05	0.0	0.01	0.72	0.58	0	0	0.15	0.02	0.0	0.0	0	0	0.00	0	0	0	0	0	0
VBG	0	0	0	0	0	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0.01	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRP	0	0	0	0	0	0	0	0.00	0	0	0	0	0.01	0	0	0	0	0	0	0.00	0	0	0.10	0.0	0	0	0	0.04	0	0	0	0	0	0	0	0	0
JJR	0	0	0	0	0	0	0.0	0.04	0	0	1.50	0	0	0	0	0	0	0	0	0.00	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CC	0	0	0	0	0	0	0.04	0	0	0.03	0.01	0	0	0	0.00	0.00	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.10	0	0	0	0
''	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBR	0	0	0	0	0	0	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0
UH	0.00	0	0	0	0	0	0.00	0.03	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD	0.0	0	0	0	0	0	0	0.0	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNPS	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0.05	0	0	0	0	0.05	0.00	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0
RBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0
VBN|JJ	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FW	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.00	0.0	0.00	0	0.0	0	0.0	0.00	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
RBR|JJR	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
IN|JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDT	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0
