NN	expletive	1
NNP	AT	1
VBG	decentralizing	1
JJ	proven	6
VBN	proven	9
NNP	Briarcliff	1
NN	mistrial	2
JJ	Similar	6
NNP	Village	5
JJR	richer	7
VB	harp	1
NN	dwelling	1
JJ	pre-emptive	3
NNS	emissions	18
NNP	Twinsburg	1
VBN	scrapped	6
VBD	scrapped	4
NNP	Mfg.	1
RB	defiantly	2
VBZ	farms	1
NNS	farms	13
NNP	Dell	15
CD	2642.64	1
NNP	Arbor	2
JJ	fast-moving	2
NN	corn	62
NN	head-hunting	1
NN	appointee	2
NNS	battlegroups	1
NN	civility	1
NNP	LeFevre	1
NNP	Beaumont	1
NN	shorthand	1
NNS	gloves	3
VBP	exercise	6
VB	exercise	22
NN	exercise	37
MD	can	1223
NN	can	5
VBG	batting	1
NN	batting	3
CD	30.25	1
NNS	forums	2
CD	404.1	1
NNP	INMAC	1
NNP	Fukuyama	4
NN	pawn	8
NNS	warriors	2
NNP	Neff	4
NNP	Diana	5
NNS	cheaters	2
VBZ	dates	4
NNS	dates	8
NNS	Laptops	1
JJ	merchant	1
NN	merchant	43
RB	Obviously	14
NNS	film-makers	1
JJ	11th-grade	1
NNP	ASA	3
NNP	Seib	4
NN	k	1
NNP	Lawyers	7
NNPS	Lawyers	2
NNS	Lawyers	20
NNP	Artzt	1
JJ	long-banned	1
JJ	satisfying	2
VBG	satisfying	4
NNS	16-year-olds	1
NNP	Alson	1
NN	clothier	1
VB	crest	1
NN	crest	3
CD	2,060	1
NN	siege	1
NNP	Pending	1
VBG	Pending	1
NNP	Oka	3
NNS	traffickers	10
NNS	marketeers	2
NNP	Hackman	1
JJ	feline	1
VBG	substituting	3
JJ	unrealistic	8
VBZ	surges	2
NNS	surges	2
NN	six-footer	1
NN	co-author	8
NNP	Mazzone	2
NNP	Won	4
VBZ	deduces	1
VBZ	ensures	2
NN	misrepresentation	2
CD	0.01	8
NN	dent	3
NNP	Colorliner	1
NNP	Savimbi	1
VBZ	cancels	1
NNP	Kingdom	19
NN	booth	4
CD	11,429,243	1
CD	23.11	1
NNS	Defections	1
JJ	appreciable	2
JJ	indirect	11
CD	8	554
VBZ	resonates	1
JJ	knock-out	1
JJ	documentary	1
NN	documentary	4
NN	audio-specialty	1
JJ	verbal	6
NNS	terminals	12
NNP	Bonn	13
NNP	Fax	1
NN	Fax	1
NNP	Hager	2
JJ	meteoric	1
JJ	enchanting	1
JJ	unlawful	7
NNP	O'Dwyer's	1
NNP	Arcata	1
NN	compatriot	1
JJ	owned	2
VBN	owned	107
VBD	owned	27
VB	Jolt	1
NNP	Brendan	1
NN	soundness	3
NN	kingmaker	1
NN	cutoff	1
JJ	miserable	3
NNS	Observers	3
NNS	Losses	4
NN	recurrence	2
JJ	30-odd	1
NNS	conditions	129
NNP	REQUIRED	1
NNS	doomsayers	3
NN	protection	114
VBP	recover	3
VB	recover	31
JJ	employer-sponsored	1
NNP	Bowl	4
RB	slavishly	1
NN	cola	3
JJ	contested	1
VBD	contested	1
VBN	contested	4
JJ	Denver-based	8
NNP	Westburne	1
NN	Root	1
CD	39	43
VBP	employ	4
VB	employ	5
CD	22.26	1
NNS	mains	5
NNPS	Animals	1
NNS	Animals	2
NNS	phobias	1
NN	verve	1
NNP	D.C.	38
JJ	tangential	1
NN	proclamation	2
VB	SELL	1
JJS	safest	2
VBP	hear	13
VB	hear	41
VBP	truck	1
NN	truck	61
JJ	Not-held	1
VBP	jostle	1
JJ	two-week	5
VB	connote	1
NNP	Leigh-Pemberton	5
VBD	enticed	3
VBZ	industrials	4
NNS	industrials	47
NNP	Continental	64
JJ	Continental	3
VBZ	hops	3
NN	capitalization	12
NN	Lobbyist	1
NNP	Clanahan	2
VBG	reducing	46
JJ	disclosed	1
VBN	disclosed	98
VBD	disclosed	62
VBP	show	63
VB	show	100
NN	show	123
CD	88.32	1
VBG	delousing	1
NN	demonstrativeness	1
NNP	Pompano	1
NNP	chicago	1
NNP	Material	1
JJ	sobering	2
NNP	Metals	5
NNPS	Metals	2
NNS	Metals	1
NN	nonfiction	2
NNP	Cadbury-Schweppes	1
VBZ	bids	3
NNS	bids	93
JJ	Sorry	1
NNP	Cassim	1
NNP	Tip	2
JJ	fume-filled	1
VBZ	eliminates	7
NNS	unknowns	3
NNP	Midway	4
CD	7.40	2
NNP	Lloyd	72
NN	Lloyd	2
JJ	221-person	1
NNP	Minella	7
NNS	absences	2
CD	1973	30
NNP	Salang	1
NN	dissension	1
RB	immediately	88
CD	16.625	1
NNP	Row	1
NN	Row	1
JJ	interrelated	1
VBN	cooked	3
NNS	reformers	10
NNS	mega-problems	1
JJ	fresh	47
VBG	Judging	4
NN	Nightlife	1
JJS	bravest	1
NNP	Grossman	4
NNP	Pagones	1
JJ	honorary	1
NNP	Heisbourg	1
NNP	Cokely	2
NNS	amenities	2
VBG	begging	2
JJ	loutish	1
VBN	Involved	1
